PlantID,PlantName,PartnerName,ContractNumber,LocationName,SourceLatLong,Address,Status,DestBREPLatLong,DestBREPMiles,DestHWLatLong,DestHWMiles,DestFHLatLong,DestFHMiles
2,Brigg,A & A Straw Supplies Limited,2-LT0140,2AANDA21501,"53.78943, -0.9985","York Rd, Selby, North Yorkshire YO8 6NU, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,A & S Eggleston,2-LT0011,2ASE1502 YARD 2,"52.82813, -1.10666",NULL,Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Antony Dickens,2-LT0009,2-ADC1508 Highstock,"52.67741, -0.01405","90 Highstock Ln, Gedney Hill, Spalding PE12 0QQ, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Antony Dickens,2-LT0009,2-ADC1509 Wooleys,"52.66421, -0.44764","Unnamed Road, Stamford PE9 4TE, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Antony Dickens,2-LT0009,2-ADC1510 Flints,"52.67809, -0.45507","19 Castle Rise, Stamford PE9 4JL, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Antony Dickens,2-LT0009,2-ADC1511 Hunters,"52.65564,-0.4112",,Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Antony Dickens,2-LT0009,2-ADC1512 Watts,"52.660173, -0.575364","3 Stamford Rd, Oakham LE15 8QQ, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Antony Dickens,2-LT0009,2-ADC1513 Beckinghams,"52.689910, 0.561585","6 Low Rd, King's Lynn PE32, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Antony Dickens,2-LT0009,2-ADC1514 Steadfold,"52.650767, -0.534318","29 Steadfold Ln, Tinwell, Stamford PE9 3UN, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Antony Dickens,2-LT0009,2-ADC1515 Borderville,"52.667784, -0.471091",,Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Antony Dickens,2-LT0009,2-ADC1516 Easton,"52.620715, -0.502501","1 Cliffe Rd, Easton on the Hill, Stamford PE9 3NW, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Antony Dickens,2-LT0009,2-ADC1601 Beckinghams,"52.689910, -0.561585","Grantham Ln, Stamford PE9 4AH, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Brocklesby Contracting Ltd,2-MTS1194,2-BRK1601 Marl Platt,"53.554788 ,-0.327747","Unnamed Road, Grimsby DN37 8LW, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Brocklesby Contracting Ltd,2-MTS1194,2-BRK1602 Brooks,"53.549851, -0.302615","Unnamed Road, Grimsby DN37 8LW, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Brocklesby Contracting Ltd,2-MTS1194,2-BRK1603 Yard Field,"53.462326 ,-0.203196","Thorganby, Grimsby DN37 0SY, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Brocklesby Contracting Ltd,2-MTS1194,2-BRK1604 Guide Post,"53.470329, -0.225300","Unnamed Road, Market Rasen LN7, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Brocklesby Contracting Ltd,2-MTS1194,2-BRK1605 Coopers,"53.599574 ,-0.325856","Unnamed Road, Ulceby DN39, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Brocklesby Contracting Ltd,2-MTS1194,2-BRK1606 Holme Field,"53.60661, -0.313498","Brocklesby Rd, Ulceby DN39 6ST, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Brocklesby Contracting Ltd,2-MTS1194,2-BRK1607 Hoyles,"53.608997, -0.317330","2002 Brocklesby Rd, Ulceby DN39 6GU, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,Brocklesby Contracting Ltd,2-MTS1194,2-BRK1608 Blackies Cover,"53.602302 ,-0.376175","Unnamed Road, Ulceby DN39 6RQ, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,BWSC Northern Fuels Ltd,BNFL BUFFER,15 FOSTERHOUSES CS,"53.625347,-1.011166","Sorrell Ln, Doncaster, South Yorkshire DN7 5LG, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,BWSC Northern Fuels Ltd,BNFL BUFFER,15 HEMSWELL CS,"53.407952,-0.575020","A631, Gainsborough, Lincolnshire DN21 5TU, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
2,Brigg,BWSC Northern Fuels Ltd,BNFL BUFFER,15 HEMSWELL OSR,"53.407952,-0.575020","A631, Gainsborough, Lincolnshire DN21 5TU, UK",Active,"53.540867, -0.510699",,"53.407952,-0.575020",,"53.625347,-1.011166",
